PASSENGERS,FREIGHT,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,CLASS
110.00,0.00,3840.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12758,KOA,12191,HOU,8,F
110.00,22.00,1237.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,13232,MDW,3,F
110.00,26.00,988.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11540,ELP,13796,OAK,9,F
110.00,49.00,951.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12892,LAX,13158,MAF,6,F
110.00,208.00,1075.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,11433,DTW,12266,IAH,10,F
110.00,255.00,1351.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12206,HRL,10800,BUR,8,F
111.00,0.00,191.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12266,IAH,14683,SAT,10,L
111.00,0.00,302.00,DL,Delta Air Lines Inc.,Delta Air Lines Inc.,12191,HOU,13495,MSY,1,L
111.00,0.00,372.00,G4,Allegiant Air,Allegiant Air,10781,BTR,11259,DAL,3,L
111.00,0.00,514.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10423,AUS,11973,GPT,7,L
111.00,0.00,588.00,MQ,Envoy Air,Envoy Air,14107,PHX,12896,LBB,2,F
111.00,0.00,597.00,OH,PSA Airlines Inc.,PSA Airlines Inc.,10599,BHM,11298,DFW,7,F
111.00,0.00,659.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15376,TUS,10136,ABI,9,L
111.00,0.00,711.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,12448,JAN,13158,MAF,7,F
111.00,0.00,981.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,14893,SMF,11540,ELP,9,F
111.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10423,AUS,10590,IFP,5,L
111.00,0.00,1040.00,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,10590,IFP,10423,AUS,5,L
111.00,0.00,1125.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,10423,AUS,13577,MYR,1,F
111.00,0.00,1129.00,G4,Allegiant Air,Allegiant Air,11433,DTW,11459,DYS,4,L
111.00,0.00,1130.00,G4,Allegiant Air,Allegiant Air,11140,CRP,11267,DAY,3,L
111.00,0.00,1178.00,WN,Southwest Airlines Co.,Southwest Airlines Co.,13796,OAK,12896,LBB,9,F
